Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220718\VL_CU_SMPS_CADR_Background2_SCAN3.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022
Start Time,13:00:00,13:03:00,13:06:00,13:09:00,13:12:00,13:15:00,13:18:00,13:21:00,13:24:00,13:27:00,13:30:00,13:33:00,13:36:00,13:39:00,13:42:00,13:45:01,13:48:00,13:51:00,13:54:00,13:57:00,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00
Sample Temp (C),23.1,23.1,23.2,23.3,23.3,23.3,23.4,23.4,23.4,23.4,23.4,23.4,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.6,23.6
Sample Pressure (kPa),81.3,81.3,81.2,81.3,81.3,81.3,81.3,81.2,81.3,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2
Relative Humidity (%),45.1,44.0,43.2,42.6,42.2,41.8,41.6,41.4,41.3,41.3,41.2,41.2,41.2,41.2,41.2,41.2,41.3,41.3,41.3,41.4,41.4,41.4,41.5,41.5,41.6
Mean Free Path (m),8.38920e-008,8.38920e-008,8.40313e-008,8.39640e-008,8.39640e-008,8.39640e-008,8.40000e-008,8.41034e-008,8.40000e-008,8.41034e-008,8.41034e-008,8.41034e-008,8.41395e-008,8.41395e-008,8.41395e-008,8.41395e-008,8.41395e-008,8.41395e-008,8.41395e-008,8.41395e-008,8.41395e-008,8.41395e-008,8.41395e-008,8.41756e-008,8.41756e-008
Gas Viscosity (Pa*s),1.83293e-005,1.83293e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
