Start Time,11:25:00,11:28:00,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00
Sample Temp (C),22.5,22.4,22.3,22.3,22.2,22.2,22.2,22.3,22.4,22.5,22.5,22.6,22.7,22.7,22.8,22.8,22.9,22.9,23.0,23.0,23.1,23.1,23.1,23.1,23.2,23.2,23.2
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.4,81.4
Relative Humidity (%),56.6,56.5,56.5,56.7,56.9,57.1,57.3,57.5,57.6,57.7,57.8,57.8,57.7,57.6,57.5,57.4,57.2,57.1,56.9,56.8,56.6,56.4,56.3,56.2,56.0,55.9,55.8
Mean Free Path (m),8.34706e-008,8.34347e-008,8.33988e-008,8.33988e-008,8.33629e-008,8.33629e-008,8.33629e-008,8.33988e-008,8.34347e-008,8.34706e-008,8.34706e-008,8.35065e-008,8.35424e-008,8.35424e-008,8.35784e-008,8.35784e-008,8.36143e-008,8.36143e-008,8.36502e-008,8.36502e-008,8.36861e-008,8.36861e-008,8.36861e-008,8.36861e-008,8.37220e-008,8.38249e-008,8.38249e-008
Gas Viscosity (Pa*s),1.83006e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83340e-005
Diameter Midpoint (nm)
 40.0,0.000,0.000,0.000,0.000,0.000,0.001,0.049,0.044,0.030,0.020,0.014,0.010,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 41.4,0.000,0.000,0.000,0.000,0.000,0.002,0.054,0.049,0.034,0.022,0.015,0.010,0.007,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 42.9,0.000,0.000,0.000,0.000,0.000,0.002,0.062,0.055,0.037,0.025,0.017,0.012,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 44.5,0.000,0.000,0.000,0.000,0.000,0.003,0.068,0.060,0.041,0.027,0.019,0.013,0.009,0.006,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 46.1,0.000,0.000,0.000,0.000,0.000,0.004,0.076,0.067,0.045,0.031,0.021,0.014,0.010,0.007,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 47.8,0.000,0.000,0.000,0.000,0.000,0.005,0.085,0.072,0.050,0.034,0.024,0.016,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 49.6,0.000,0.000,0.000,0.000,0.000,0.006,0.094,0.081,0.054,0.038,0.026,0.019,0.012,0.008,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 51.4,0.001,0.000,0.000,0.000,0.000,0.006,0.105,0.087,0.062,0.043,0.030,0.020,0.014,0.010,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 53.3,0.001,0.000,0.000,0.000,0.001,0.008,0.116,0.096,0.068,0.046,0.031,0.023,0.016,0.011,0.007,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 55.2,0.000,0.001,0.001,0.001,0.001,0.010,0.127,0.108,0.075,0.051,0.037,0.025,0.017,0.012,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000
